[0818/010005:ERROR:process_info.cc(330)] VirtualQueryEx: Access is denied. (0x5)
[0818/010005:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0818/010005:ERROR:process_info.cc(608)] range at 0xa249583000, size 0x354 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701730, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbb50, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbb78, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97700e30, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc4b0, size 0x3c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc4d8, size 0x14 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e38e0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e37e0, size 0x3a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x7fff186a1410, size 0x12 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e4480, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e4600, size 0x44 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e4628, size 0x1c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e3fb0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e4130, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e4158, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e69b0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6b30, size 0x3c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6b58, size 0x14 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6270, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e63f0, size 0x3c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6418, size 0x14 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6d40, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6ec0, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6ee8, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6610, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6790, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e67b8, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ecdd0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ea580, size 0x50 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ea5a8, size 0x28 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ed7f0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976edf30, size 0x42 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976edf58, size 0x1a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e6090, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976eb720, size 0x9a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976eb79e, size 0x1c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e7120, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ec160, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ec188, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ed490, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ee250, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ee278, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ed010, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976edda0, size 0x42 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976eddc8, size 0x1a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ea290, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976eafd0, size 0x3a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976eaff8, size 0x12 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e9eb0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ea030, size 0x3c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ea058, size 0x14 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ed370, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ee1b0, size 0x3a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ee1d8, size 0x12 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e7390, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ec260, size 0x3a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ec288, size 0x12 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ed5b0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ee200, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ee228, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e7600, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ee480, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ee4a8, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e7870, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976eddf0, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ede18, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976eb600, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976edfd0, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976edff8, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ecb90, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f9480, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f94a8, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ed130, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f9390, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f93b8, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976eccb0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ff9f0, size 0x4c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ffa18, size 0x24 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ed250, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f88f0, size 0x3c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f8918, size 0x14 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701850, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f8710, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f8738, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976eca70, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ea9a0, size 0x4e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ea9c8, size 0x26 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ed6d0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f9430, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976f9458, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a977024b0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc280, size 0x3a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc2a8, size 0x12 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701f10, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbc90, size 0x3c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbcb8, size 0x14 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97700bf0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc320, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc348, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a977025d0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ea080, size 0xf6 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976ea15e, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97702270, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbd30, size 0x46 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbd58, size 0x1e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97700e30, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc4b0, size 0x3c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc4d8, size 0x14 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701190, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbab0, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbad8, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97702390, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc410, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc438, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a977012b0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fca00, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fca28, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a977013d0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc230, size 0x3a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc258, size 0x12 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a977014f0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc730, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc758, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97702810, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbdd0, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbdf8, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701970, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc640, size 0x3c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc668, size 0x14 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701bb0, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc190, size 0x3a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc1b8, size 0x12 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701a90, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc0f0, size 0x3c fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc118, size 0x14 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701070, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbd80, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbda8, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97700d10, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbb00, size 0x40 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbb28, size 0x18 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701610, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc3c0, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fc3e8, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97701730, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbb50, size 0x3e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976fbb78, size 0x16 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a97702a50, size 0x84 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e67e0, size 0x9e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e685e, size 0x20 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e1a50, size 0x3ec fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e3c10, size 0x7e fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e2068, size 0x76 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x27a976e20e0, size 0x1612 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x976e376c00000000, size 0x27a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x976e37ce00000000, size 0x27a fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x0, size 0x27a fully unreadable
[0818/010005:ERROR:process_reader_win.cc(253)] range at 0x27a97715cd0, size 0x10000 completely inaccessible
[0818/010005:ERROR:process_info.cc(608)] range at 0x7fff186d21e0, size 0x28 fully unreadable
[0818/010005:ERROR:process_info.cc(608)] range at 0x7fff186d2d48, size 0x30 fully unreadable
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7ff6ae8a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18590000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\ntdll.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15730000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\KERNELBASE.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff181e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\KERNEL32.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15db0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\msvcrt.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15990000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\RPCRT4.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff173b0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\sechost.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17950000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\ADVAPI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff155d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\bcryptPrimitives.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14650000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\CRYPTBASE.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff07e80000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\52.0.2743.116\chrome_elf.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff10f50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\VERSION.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15920000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\cfgmgr32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff13080000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMMBASE.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17a10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\GDI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18430000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\USER32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17910000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\IMM32.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff131a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMM.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14c00000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\profapi.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14310000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\USERENV.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff129a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WTSAPI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff11100000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINHTTP.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17f60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\combase.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18360000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\shlwapi.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14c20000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\kernel.appcore.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14cf0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\shcore.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14bb0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\powrprof.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14db0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\windows.storage.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15e50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\SHELL32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17a00000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\PSAPI.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14af0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\bcrypt.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0fc50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINSPOOL.DRV
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0d4d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.10586.494_none_a2d8b04ea53e3145\COMCTL32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15640000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\FirewallAPI.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff13930000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\fwbase.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15970000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\NETAPI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0d2f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\DAVHLPR.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17ba0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\COMDLG32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17e10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\ole32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18290000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\OLEAUT32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff10f60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff178a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\WS2_32.dll
